epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1239.9,1.07185,0.97195,1.13762,0.73127,0.65156,0.72177,0.48815,0.91464,0.72352,1.0622,0.0097426,0.0097426,0.0097426
28,2480.17,1.05722,0.8976,1.12112,0.74455,0.66861,0.72989,0.49381,0.90239,0.69092,1.05607,0.0097327,0.0097327,0.0097327
29,3720.87,1.03588,0.86637,1.10955,0.73898,0.70158,0.75103,0.50588,0.89038,0.67395,1.04826,0.0097228,0.0097228,0.0097228
30,4959.36,1.03176,0.84913,1.10805,0.7615,0.68588,0.76145,0.52493,0.87991,0.65774,1.04231,0.0097129,0.0097129,0.0097129
31,6198.55,1.02736,0.84079,1.09887,0.75796,0.65978,0.75658,0.52103,0.87264,0.65192,1.0421,0.009703,0.009703,0.009703
32,7437.36,1.0125,0.81703,1.09334,0.73256,0.69378,0.75263,0.52246,0.86374,0.63261,1.03381,0.0096931,0.0096931,0.0096931
33,8675.92,0.99717,0.81784,1.09023,0.74697,0.71904,0.76206,0.52494,0.85909,0.62394,1.03455,0.0096832,0.0096832,0.0096832
34,9914.05,0.98043,0.79087,1.08259,0.7674,0.68499,0.76524,0.53222,0.84981,0.61378,1.0266,0.0096733,0.0096733,0.0096733
35,11156.9,0.98822,0.80366,1.08638,0.76669,0.68961,0.76592,0.53456,0.8425,0.61387,1.02155,0.0096634,0.0096634,0.0096634
36,12401.9,0.99179,0.79382,1.08671,0.73905,0.70702,0.76092,0.53335,0.83825,0.61841,1.02106,0.0096535,0.0096535,0.0096535
37,13639.4,0.97506,0.78457,1.07346,0.75621,0.72652,0.77857,0.53749,0.83577,0.60126,1.01424,0.0096436,0.0096436,0.0096436
38,14877.4,0.97061,0.76715,1.07648,0.78369,0.71105,0.7816,0.54207,0.82829,0.60531,1.00904,0.0096337,0.0096337,0.0096337
39,16115.7,0.95799,0.76563,1.06611,0.77092,0.70208,0.77242,0.5422,0.82704,0.59794,1.00823,0.0096238,0.0096238,0.0096238
40,17352.7,0.95442,0.75772,1.0741,0.77218,0.71176,0.78115,0.5482,0.81489,0.58222,1.00512,0.0096139,0.0096139,0.0096139
41,18590.5,0.95105,0.76425,1.06584,0.7869,0.69663,0.78588,0.55005,0.81513,0.5742,1.00446,0.009604,0.009604,0.009604
42,19828.1,0.94394,0.74857,1.06117,0.78175,0.69807,0.78896,0.55424,0.80946,0.57313,1.00193,0.0095941,0.0095941,0.0095941
43,21065.8,0.93774,0.74293,1.05762,0.77015,0.71646,0.78965,0.55553,0.8035,0.57426,0.99951,0.0095842,0.0095842,0.0095842
44,22303.6,0.93371,0.73864,1.05497,0.79505,0.696,0.79131,0.56094,0.8023,0.56982,0.99842,0.0095743,0.0095743,0.0095743
45,23541.9,0.9178,0.73041,1.04761,0.77557,0.72344,0.78839,0.55741,0.79065,0.55676,0.99358,0.0095644,0.0095644,0.0095644
46,24782.4,0.91314,0.71016,1.04293,0.78722,0.71108,0.79396,0.56423,0.78572,0.5533,0.99227,0.0095545,0.0095545,0.0095545
47,26022.6,0.91705,0.72068,1.04784,0.7818,0.71201,0.79285,0.56732,0.78407,0.549,0.99002,0.0095446,0.0095446,0.0095446
48,27263.4,0.92524,0.72846,1.05143,0.79506,0.71215,0.79275,0.56884,0.77576,0.54568,0.98639,0.0095347,0.0095347,0.0095347
49,28505.4,0.90761,0.72004,1.03906,0.80163,0.71963,0.79331,0.5699,0.78015,0.55071,0.98343,0.0095248,0.0095248,0.0095248
50,29747.8,0.90825,0.71334,1.04086,0.77996,0.73739,0.79532,0.56917,0.77592,0.54501,0.98323,0.0095149,0.0095149,0.0095149
51,30992.5,0.90635,0.71176,1.03958,0.78467,0.7242,0.79803,0.57107,0.77326,0.53931,0.98175,0.009505,0.009505,0.009505
52,32238.3,0.89655,0.70375,1.03473,0.7936,0.71874,0.80226,0.57495,0.76562,0.53326,0.97682,0.0094951,0.0094951,0.0094951
53,33484.4,0.88791,0.69896,1.0299,0.80963,0.71317,0.80137,0.58012,0.76287,0.52775,0.97589,0.0094852,0.0094852,0.0094852
54,34731.4,0.8889,0.70016,1.03105,0.80658,0.71685,0.80259,0.58149,0.75738,0.5312,0.972,0.0094753,0.0094753,0.0094753
55,35979.2,0.89104,0.69933,1.03219,0.78874,0.71669,0.7975,0.57964,0.75514,0.5314,0.97398,0.0094654,0.0094654,0.0094654
56,37227.2,0.9039,0.69858,1.03606,0.80429,0.71121,0.80766,0.58477,0.75103,0.52347,0.9712,0.0094555,0.0094555,0.0094555
57,38475.1,0.89552,0.71099,1.03256,0.81658,0.72201,0.81299,0.59168,0.75388,0.5229,0.9699,0.0094456,0.0094456,0.0094456
58,39723.6,0.88466,0.69953,1.03166,0.79968,0.72399,0.81226,0.59244,0.74745,0.51991,0.96793,0.0094357,0.0094357,0.0094357
59,40972.2,0.89577,0.69276,1.02999,0.80805,0.72209,0.81706,0.59267,0.75004,0.51731,0.96745,0.0094258,0.0094258,0.0094258
60,42220.8,0.88773,0.69803,1.0266,0.80321,0.73237,0.8179,0.59373,0.74621,0.51683,0.9675,0.0094159,0.0094159,0.0094159
61,43469.5,0.87602,0.68473,1.02496,0.79603,0.73861,0.81767,0.59436,0.74604,0.51336,0.96726,0.009406,0.009406,0.009406
62,44719.2,0.87975,0.68201,1.01957,0.80975,0.73545,0.81881,0.59555,0.74242,0.51094,0.96443,0.0093961,0.0093961,0.0093961
63,45969.1,0.87143,0.67561,1.01287,0.79596,0.74573,0.81905,0.59928,0.74097,0.50772,0.96205,0.0093862,0.0093862,0.0093862
64,1253.68,0.91197,0.75991,1.12939,0.76727,0.68689,0.77094,0.55033,0.80435,0.65725,0.99549,0.0093763,0.0093763,0.0093763
65,2500.94,0.90253,0.71052,1.03947,0.79744,0.6789,0.77716,0.55377,0.79623,0.62402,0.99065,0.0093664,0.0093664,0.0093664
66,3748.28,0.88823,0.68814,1.0216,0.78437,0.68629,0.77993,0.55792,0.79526,0.61712,0.98903,0.0093565,0.0093565,0.0093565
67,5046.99,0.88365,0.66956,1.01949,0.75513,0.70893,0.7812,0.55881,0.79254,0.62464,1.01683,0.0093466,0.0093466,0.0093466
68,6363.75,0.87787,0.67284,1.00771,0.76895,0.70259,0.78469,0.56208,0.79514,0.62256,1.35844,0.0093367,0.0093367,0.0093367
69,7680.95,0.87157,0.66319,1.00895,0.78335,0.69034,0.78419,0.56226,0.793,0.6264,1.5513,0.0093268,0.0093268,0.0093268
70,8997.11,0.86426,0.66693,1.01516,0.77026,0.69785,0.78715,0.56486,0.79373,0.6306,1.62658,0.0093169,0.0093169,0.0093169
71,10313.8,0.85527,0.64446,0.99525,0.75905,0.70959,0.78688,0.56358,0.79128,0.62599,1.54407,0.009307,0.009307,0.009307
64,1229.28,0.91197,0.75991,1.12939,0.76727,0.68689,0.77094,0.55033,0.80435,0.65725,0.99549,0.0093763,0.0093763,0.0093763
65,2460.12,0.90253,0.71052,1.03947,0.79744,0.6789,0.77716,0.55377,0.79623,0.62402,0.99065,0.0093664,0.0093664,0.0093664
66,3684.92,0.88823,0.68814,1.0216,0.78437,0.68629,0.77993,0.55792,0.79526,0.61712,0.98903,0.0093565,0.0093565,0.0093565
67,4909.09,0.88365,0.66956,1.01949,0.75513,0.70893,0.7812,0.55881,0.79254,0.62464,1.01683,0.0093466,0.0093466,0.0093466
68,6132.95,0.87787,0.67284,1.00771,0.76895,0.70259,0.78469,0.56208,0.79514,0.62256,1.35844,0.0093367,0.0093367,0.0093367
69,7357.01,0.87157,0.66319,1.00895,0.78335,0.69034,0.78419,0.56226,0.793,0.6264,1.5513,0.0093268,0.0093268,0.0093268
64,1244.23,0.91197,0.75991,1.12939,0.76727,0.68689,0.77094,0.55033,0.80435,0.65725,0.99549,0.0093763,0.0093763,0.0093763
65,2489.4,0.90253,0.71052,1.03947,0.79744,0.6789,0.77716,0.55377,0.79623,0.62402,0.99065,0.0093664,0.0093664,0.0093664
66,3734.65,0.88823,0.68814,1.0216,0.78437,0.68629,0.77993,0.55792,0.79526,0.61712,0.98903,0.0093565,0.0093565,0.0093565
67,4979.97,0.88365,0.66956,1.01949,0.75513,0.70893,0.7812,0.55881,0.79254,0.62464,1.01683,0.0093466,0.0093466,0.0093466
68,6225.39,0.87787,0.67284,1.00771,0.76895,0.70259,0.78469,0.56208,0.79514,0.62256,1.35844,0.0093367,0.0093367,0.0093367
69,7474.23,0.87157,0.66319,1.00895,0.78335,0.69034,0.78419,0.56226,0.793,0.6264,1.5513,0.0093268,0.0093268,0.0093268
70,8722.38,0.86426,0.66693,1.01516,0.77026,0.69785,0.78715,0.56486,0.79373,0.6306,1.62658,0.0093169,0.0093169,0.0093169
71,9971.83,0.85527,0.64446,0.99525,0.75905,0.70959,0.78688,0.56358,0.79128,0.62599,1.54407,0.009307,0.009307,0.009307
72,11224.9,0.86735,0.66664,1.00399,0.76086,0.7003,0.78479,0.56163,0.78876,0.62816,1.55002,0.0092971,0.0092971,0.0092971
73,12479.6,0.87047,0.65931,1.00653,0.77781,0.69453,0.78545,0.56275,0.7901,0.63072,1.68944,0.0092872,0.0092872,0.0092872
74,13733.9,0.85791,0.64934,0.99597,0.78219,0.68466,0.78486,0.5639,0.78831,0.63703,1.8668,0.0092773,0.0092773,0.0092773
64,1252.15,0.91197,0.75991,1.12939,0.76727,0.68689,0.77094,0.55033,0.80435,0.65725,0.99549,0.0093763,0.0093763,0.0093763
