epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15585.3,0.76249,0.51101,0.89417,0.85134,0.78367,0.87569,0.66398,0.68339,0.44873,0.86224,0.005842,0.005842,0.005842
44,15944.7,0.75709,0.50658,0.89417,0.84024,0.80735,0.88161,0.67113,0.68567,0.44321,0.86346,0.005743,0.005743,0.005743
45,16303.6,0.75813,0.5069,0.89428,0.86348,0.80389,0.88767,0.67782,0.6774,0.43756,0.858,0.005644,0.005644,0.005644
46,16662.5,0.74801,0.49883,0.89033,0.86933,0.79956,0.88656,0.67568,0.67532,0.43563,0.8593,0.005545,0.005545,0.005545
47,17021.5,0.74358,0.49399,0.88841,0.86914,0.81014,0.89348,0.68605,0.66462,0.42913,0.85632,0.005446,0.005446,0.005446
48,17380.5,0.74304,0.49478,0.88843,0.853,0.81922,0.89841,0.68673,0.66477,0.42612,0.85359,0.005347,0.005347,0.005347
49,17739.5,0.74592,0.49635,0.88833,0.85734,0.81328,0.89102,0.68568,0.66223,0.42828,0.85388,0.005248,0.005248,0.005248
50,18098.4,0.73668,0.48554,0.88376,0.85542,0.82597,0.89292,0.68631,0.65795,0.42645,0.85306,0.005149,0.005149,0.005149
51,18457.2,0.73558,0.48445,0.88461,0.85909,0.81697,0.89618,0.69434,0.65355,0.42085,0.85164,0.00505,0.00505,0.00505
52,18816,0.72835,0.47752,0.88287,0.86165,0.83739,0.9066,0.70309,0.64744,0.41163,0.85009,0.004951,0.004951,0.004951
53,19174.7,0.72213,0.47339,0.88052,0.85529,0.8305,0.9,0.6977,0.64797,0.40973,0.85031,0.004852,0.004852,0.004852
54,19533.4,0.72214,0.4736,0.88171,0.86471,0.83233,0.9046,0.70207,0.64546,0.40684,0.84832,0.004753,0.004753,0.004753
55,19892.7,0.71389,0.46729,0.881,0.8785,0.82577,0.9062,0.70394,0.6432,0.40436,0.84869,0.004654,0.004654,0.004654
56,20254.7,0.71528,0.46545,0.87994,0.87129,0.84063,0.90792,0.70703,0.64038,0.40098,0.84635,0.004555,0.004555,0.004555
57,20619.8,0.7118,0.46346,0.87945,0.87785,0.83393,0.90702,0.7079,0.63744,0.40106,0.84529,0.004456,0.004456,0.004456
58,20979.8,0.70477,0.45836,0.87671,0.88009,0.82951,0.90785,0.70877,0.63392,0.39659,0.84481,0.004357,0.004357,0.004357
59,21339.1,0.70103,0.45593,0.87661,0.86949,0.83843,0.90766,0.7105,0.63376,0.39445,0.8449,0.004258,0.004258,0.004258
60,21698.4,0.6947,0.45053,0.87207,0.8824,0.82999,0.9096,0.71528,0.62901,0.38947,0.8423,0.004159,0.004159,0.004159
61,22057.6,0.69695,0.44578,0.87492,0.88645,0.83847,0.91404,0.71884,0.62458,0.386,0.84191,0.00406,0.00406,0.00406
62,22416.8,0.69278,0.44614,0.87123,0.89708,0.83526,0.91756,0.72508,0.62349,0.38257,0.84137,0.003961,0.003961,0.003961
63,22775.9,0.68677,0.44083,0.87051,0.89945,0.83948,0.92011,0.72494,0.62166,0.38049,0.84029,0.003862,0.003862,0.003862
64,23135.2,0.68756,0.43988,0.87003,0.88447,0.84867,0.91898,0.72576,0.61635,0.37857,0.83857,0.003763,0.003763,0.003763
65,23494.4,0.68183,0.43914,0.86835,0.88607,0.8451,0.91859,0.72591,0.61533,0.37799,0.83758,0.003664,0.003664,0.003664
66,23853.7,0.68096,0.43579,0.87065,0.89035,0.83888,0.91991,0.72842,0.61281,0.37533,0.83672,0.003565,0.003565,0.003565
